S.No,PO#,PO Date,Product,Qty,Price,POAmount,Vendor,Status,InventoryIn,InventoryOut,Balance
1,1001,09-06-2022,Item-4,233,11,2563,Vendor-9,Pending,0,0,0
2,1002,02-12-2022,Item-2,271,18,4878,Vendor-4,Pending,0,0,0
3,1003,24-04-2022,Item-4,347,17,5899,Vendor-9,Received,5899,1208.9,4690.1
4,1004,11-05-2022,Item-2,184,20,3680,Vendor-10,Received,3680,1441.2,2238.8
5,1005,25-06-2022,Item-4,459,15,6885,Vendor-5,Received,6885,5682.3,1202.7
6,1006,20-02-2022,Item-1,306,13,3978,Vendor-4,Received,3978,1526.2,2451.8
7,1007,02-05-2022,Item-1,205,20,4100,Vendor-7,Received,4100,3011,1089
8,1008,02-10-2022,Item-3,120,16,1920,Vendor-2,Received,1920,1184.3,735.7
9,1009,19-02-2022,Item-1,141,10,1410,Vendor-8,Pending,0,0,0
10,1010,15-10-2022,Item-4,373,20,7460,Vendor-7,Received,7460,6263,1197
11,1011,17-10-2022,Item-1,344,13,4472,Vendor-1,Pending,0,0,0
12,1012,03-07-2022,Item-1,114,17,1938,Vendor-6,Pending,0,0,0
13,1013,26-10-2022,Item-1,496,16,7936,Vendor-8,Received,7936,6767.9,1168.1
14,1014,01-02-2022,Item-3,267,12,3204,Vendor-6,Pending,0,0,0
15,1015,05-11-2022,Item-3,485,10,4850,Vendor-6,Pending,0,0,0
16,1016,23-06-2022,Item-2,394,14,5516,Vendor-4,Received,5516,3305.7,2210.3
17,1017,21-10-2022,Item-2,438,12,5256,Vendor-9,Pending,0,0,0
18,1018,28-02-2022,Item-4,281,17,4777,Vendor-5,Received,4777,3039.4,1737.6
19,1019,21-08-2022,Item-1,347,19,6593,Vendor-4,Received,6593,5394.2,1198.8
20,1020,06-07-2022,Item-1,371,17,6307,Vendor-6,Received,6307,2059.3,4247.7
21,1021,15-08-2022,Item-4,359,11,3949,Vendor-3,Pending,0,0,0
22,1022,23-03-2022,Item-4,286,12,3432,Vendor-5,Pending,0,0,0
23,1023,02-09-2022,Item-2,135,11,1485,Vendor-3,Received,1485,1008.2,476.8
24,1024,22-11-2022,Item-4,161,14,2254,Vendor-5,Pending,0,0,0
25,1025,31-03-2022,Item-3,246,17,4182,Vendor-6,Pending,0,0,0
26,1026,03-08-2022,Item-1,481,18,8658,Vendor-5,Received,8658,2683.6,5974.4
27,1027,05-09-2022,Item-2,358,10,3580,Vendor-4,Received,3580,2909,671
28,1028,18-11-2022,Item-1,423,14,5922,Vendor-5,Pending,0,0,0
29,1029,17-03-2022,Item-4,416,12,4992,Vendor-8,Received,4992,3966.9,1025.1
30,1030,18-10-2022,Item-3,168,18,3024,Vendor-9,Received,3024,1579.8,1444.2
31,1031,14-07-2022,Item-4,272,12,3264,Vendor-5,Received,3264,2028.2,1235.8
32,1032,26-11-2022,Item-1,395,11,4345,Vendor-2,Pending,0,0,0
33,1033,31-10-2022,Item-1,208,11,2288,Vendor-3,Pending,0,0,0
34,1034,04-04-2022,Item-2,463,19,8797,Vendor-4,Pending,0,0,0
35,1035,19-01-2022,Item-2,316,19,6004,Vendor-3,Pending,0,0,0
36,1036,11-03-2022,Item-3,372,17,6324,Vendor-7,Received,6324,1406.1,4917.9
37,1037,18-08-2022,Item-2,500,16,8000,Vendor-4,Received,8000,1101,6899
38,1038,20-05-2022,Item-1,283,18,5094,Vendor-3,Pending,0,0,0
39,1039,10-11-2022,Item-1,401,13,5213,Vendor-7,Received,5213,2557.3,2655.7
40,1040,02-10-2022,Item-2,304,12,3648,Vendor-9,Received,3648,2432.7,1215.3
41,1041,17-09-2022,Item-2,122,14,1708,Vendor-3,Received,1708,1119.3,588.7
42,1042,21-11-2022,Item-4,107,10,1070,Vendor-5,Pending,0,0,0
43,1043,21-11-2022,Item-2,491,11,5401,Vendor-9,Received,5401,4861.1,539.9
44,1044,29-10-2022,Item-4,310,18,5580,Vendor-3,Received,5580,1168.8,4411.2
45,1045,17-07-2022,Item-1,241,11,2651,Vendor-7,Pending,0,0,0
